zipcode,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,total_price,price_log
90250,Bungalow,Entire home/apt,6,2.0,3.0,6.0,Real Bed,350.0,5.857933154483459
90008,House,Private room,2,1.0,1.0,1.0,Real Bed,110.0,4.700480365792417
90278,Townhouse,Entire home/apt,4,2.0,2.0,2.0,Real Bed,300.0,5.703782474656202
90305,House,Entire home/apt,6,2.0,2.0,3.0,Real Bed,250.0,5.521460917862246
90249,House,Entire home/apt,6,2.0,3.0,3.0,Real Bed,385.0,5.9532433342877855
90012,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,309.0,5.733341276897747
90250,Guest suite,Entire home/apt,2,1.0,1.0,1.0,Real Bed,95.0,4.553876891600541
90247,Apartment,Entire home/apt,6,2.0,3.0,4.0,Real Bed,194.0,5.267858159063328
90043,House,Private room,4,1.0,1.0,1.0,Real Bed,100.0,4.605170185988092
90014,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,90.0,4.499809670330264
90043,Bungalow,Private room,2,1.0,1.0,1.0,Real Bed,85.0,4.442651256490317
90302,Condominium,Private room,2,1.0,1.0,1.0,Real Bed,40.0,3.688879454113936
90302,Hostel,Private room,2,1.0,1.0,0.0,Real Bed,49.0,3.8918202981106265
90043,House,Private room,2,1.0,1.0,1.0,Real Bed,55.0,4.007333185232471
90501,Townhouse,Private room,2,1.0,1.0,1.0,Real Bed,90.0,4.499809670330264
90278,Townhouse,Entire home/apt,6,2.5,3.0,3.0,Real Bed,300.0,5.703782474656202
90037,Guesthouse,Entire home/apt,2,1.0,0.0,0.0,Real Bed,160.0,5.0751738152338275
90043,House,Entire home/apt,3,1.0,1.0,1.0,Real Bed,120.0,4.787491742782046
90278,Apartment,Entire home/apt,2,1.5,1.0,2.0,Real Bed,229.0,5.433722003554241
90037,Guest suite,Entire home/apt,2,1.0,1.0,1.0,Real Bed,123.0,4.812184355372417
90249,House,Private room,1,1.0,1.0,1.0,Real Bed,50.0,3.912023005428147
90043,Guesthouse,Entire home/apt,4,1.0,0.0,2.0,Real Bed,120.0,4.787491742782046
90501,House,Entire home/apt,3,1.0,1.0,2.0,Real Bed,110.0,4.700480365792417
90303,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,200.0,5.298317366548036
90275,House,Entire home/apt,10,2.0,4.0,4.0,Real Bed,339.0,5.82600010738045
90047,House,Private room,14,1.5,3.0,9.0,Real Bed,215.0,5.3706380281276624
90250,Condominium,Private room,2,1.0,1.0,1.0,Real Bed,80.0,4.382026634673881
90062,House,Private room,4,1.0,1.0,3.0,Real Bed,85.0,4.442651256490317
90250,House,Private room,2,1.0,1.0,1.0,Real Bed,62.0,4.127134385045092
90247,Apartment,Private room,2,2.0,1.0,1.0,Real Bed,59.0,4.07753744390572
90260,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,80.0,4.382026634673881
90717,House,Private room,2,1.0,1.0,1.0,Real Bed,200.0,5.298317366548036
90710,Condominium,Private room,2,1.0,1.0,1.0,Real Bed,90.0,4.499809670330264
90278,Townhouse,Private room,2,1.0,1.0,1.0,Real Bed,75.0,4.31748811353631
90012,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,158.0,5.062595033026967
90304,House,Private room,2,2.0,1.0,1.0,Real Bed,78.0,4.356708826689592
90248,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,39.0,3.6635616461296463
90260,Bungalow,Private room,1,1.0,1.0,1.0,Real Bed,43.0,3.7612001156935615
90710,House,Private room,2,1.0,1.0,3.0,Real Bed,61.0,4.110873864173311
90277,Townhouse,Private room,2,1.5,1.0,2.0,Real Bed,65.0,4.174387269895637
90012,Apartment,Entire home/apt,6,1.0,1.0,1.0,Real Bed,244.0,5.497168225293202
90278,House,Private room,2,1.0,1.0,1.0,Real Bed,70.0,4.248495242049359
90505,House,Entire home/apt,8,3.0,2.0,4.0,Real Bed,1050.0,6.956545443151568
